iter	Passed	Remaining
467	725	825
468	727	823
469	728	821
470	729	819
471	730	817
472	732	815
473	733	814
474	742	820
475	745	820
476	747	819
477	749	818
478	751	817
479	753	815
480	756	816
481	760	816
482	761	815
483	763	813
484	764	811
485	766	810
486	768	809
487	770	808
488	772	807
489	774	805
490	776	805
491	778	803
492	780	802
493	782	801
494	783	799
495	785	797
496	786	796
497	788	795
498	790	793
499	792	792
500	795	791
501	797	791
502	799	789
503	800	787
504	801	785
505	803	784
506	805	782
507	806	781
508	808	780
509	809	778
510	810	776
511	812	774
512	813	772
513	814	770
514	816	768
515	818	767
516	819	766
517	821	764
518	823	762
519	824	761
520	826	759
521	827	758
522	829	756
523	831	755
524	833	753
525	834	752
526	836	750
527	837	749
528	839	747
529	841	745
530	843	744
531	844	743
532	846	742
533	849	740
534	850	739
535	852	737
536	854	736
537	855	734
538	857	733
539	859	732
540	861	730
541	862	729
542	864	727
543	865	725
544	867	724
545	870	723
546	871	721
547	873	720
548	874	718
549	876	716
550	877	715
551	879	713
552	880	712
553	882	710
554	884	708
555	885	707
556	887	705
557	888	703
558	889	701
559	891	700
560	892	698
561	894	697
562	896	695
563	897	693
564	898	691
565	900	690
566	901	688
567	902	686
568	903	684
569	905	682
570	906	681
571	908	679
572	909	678
573	910	676
574	912	674
575	913	672
576	914	670
577	915	668
578	916	666
579	918	664
580	920	663
581	921	661
582	922	659
583	923	657
584	925	656
585	926	654
586	928	652
587	929	651
588	931	649
589	932	648
590	933	646
591	934	644
592	936	642
593	937	640
594	938	638
595	939	636
596	940	634
597	941	633
598	943	631
599	944	629
600	946	628
601	947	626
602	948	624
603	950	622
604	951	621
605	952	619
606	953	617
607	955	615
608	956	614
609	958	612
610	959	610
611	960	609
612	962	607
613	963	605
614	964	603
615	965	601
616	966	600
617	968	598
618	969	596
619	970	595
620	971	593
621	973	591
622	974	589
623	975	587
624	976	585
625	977	584
626	979	582
627	980	580
628	982	579
629	983	577
630	985	576
631	986	574
632	987	572
633	988	570
634	989	568
635	990	567
636	991	565
637	993	563
638	994	561
639	996	560
640	997	558
641	998	556
642	999	555
643	1000	553
644	1001	551
645	1002	549
646	1003	547
647	1004	545
648	1006	544
649	1008	543
650	1010	541
651	1011	539
652	1012	538
653	1014	536
654	1016	535
655	1018	533
656	1019	532
657	1021	530
658	1022	529
659	1023	527
660	1025	525
661	1026	524
662	1027	522
663	1028	520
664	1030	518
665	1031	517
666	1032	515
667	1034	514
668	1035	512
669	1036	510
670	1037	508
671	1038	507
672	1039	505
673	1041	503
674	1042	501
675	1043	499
676	1044	498
677	1046	497
678	1047	495
679	1049	493
680	1050	491
681	1051	490
682	1052	488
683	1053	486
684	1054	484
685	1055	483
686	1057	481
687	1058	480
688	1059	478
689	1061	476
690	1062	475
691	1063	473
692	1064	471
693	1065	469
694	1066	468
695	1067	466
696	1068	464
697	1070	463
698	1071	461
699	1073	459
700	1074	458
701	1075	456
702	1076	454
703	1077	453
704	1078	451
705	1079	449
706	1081	448
707	1082	446
708	1084	445
709	1085	443
710	1086	441
711	1087	440
712	1088	438
713	1089	436
714	1091	434
715	1092	433
716	1093	431
717	1094	429
718	1096	428
719	1097	426
720	1099	425
721	1100	423
722	1101	422
723	1103	420
724	1104	418
725	1105	417
726	1107	415
727	1108	414
728	1110	412
729	1112	411
730	1113	409
731	1114	408
732	1115	406
733	1117	404
734	1118	403
735	1120	401
736	1122	400
737	1124	399
738	1125	397
739	1126	395
740	1128	394
741	1129	392
742	1131	391
743	1132	389
744	1134	388
745	1136	386
746	1137	385
747	1139	383
748	1140	382
749	1142	380
750	1143	379
751	1145	377
752	1148	376
753	1149	375
754	1151	373
755	1152	371
756	1154	370
757	1155	368
758	1156	367
759	1158	365
760	1160	364
761	1162	363
762	1163	361
763	1165	359
764	1166	358
765	1168	356
766	1170	355
767	1171	354
768	1173	352
769	1175	351
770	1177	349
771	1178	348
772	1180	346
773	1182	345
774	1184	343
775	1185	342
776	1187	340
777	1189	339
778	1191	337
779	1192	336
780	1194	334
781	1196	333
782	1198	332
783	1200	330
784	1202	329
785	1203	327
786	1205	326
787	1206	324
788	1209	323
789	1210	321
790	1212	320
791	1214	318
792	1215	317
793	1217	315
794	1218	314
795	1220	312
796	1222	311
797	1224	309
798	1225	308
799	1227	306
800	1229	305
801	1230	303
802	1232	302
803	1235	301
804	1237	299
805	1239	298
806	1240	296
807	1242	295
808	1243	293
809	1245	292
810	1247	290
811	1249	289
812	1251	287
813	1253	286
814	1254	284
815	1256	283
816	1257	281
817	1259	280
818	1262	278
819	1264	277
820	1266	276
821	1267	274
822	1269	272
823	1271	271
824	1273	270
825	1275	268
826	1277	267
827	1278	265
828	1280	264
829	1281	262
830	1282	260
831	1284	259
832	1286	257
833	1287	256
834	1289	254
835	1290	253
836	1291	251
837	1293	250
838	1294	248
839	1296	246
840	1298	245
841	1300	244
842	1302	242
843	1303	240
844	1305	239
845	1306	237
846	1308	236
847	1309	234
848	1311	233
849	1313	231
850	1314	230
851	1315	228
852	1317	227
853	1318	225
854	1319	223
855	1321	222
856	1323	220
857	1325	219
858	1326	217
859	1327	216
860	1329	214
861	1330	213
862	1331	211
863	1332	209
864	1334	208
865	1336	206
866	1337	205
867	1339	203
868	1340	202
869	1342	200
870	1343	198
871	1344	197
872	1346	195
873	1347	194
874	1350	192
875	1352	191
876	1353	189
877	1354	188
878	1356	186
879	1357	185
880	1358	183
881	1360	181
882	1361	180
883	1363	178
884	1364	177
885	1365	175
886	1366	174
887	1368	172
888	1369	171
889	1370	169
890	1371	167
891	1373	166
892	1375	164
893	1376	163
894	1377	161
895	1379	160
896	1380	158
897	1381	156
898	1382	155
899	1383	153
900	1384	152
901	1385	150
902	1387	149
903	1388	147
904	1389	145
905	1391	144
906	1392	142
907	1393	141
908	1395	139
909	1396	138
910	1397	136
911	1399	134
912	1401	133
913	1402	131
914	1403	130
915	1404	128
916	1405	127
917	1406	125
918	1407	124
919	1408	122
920	1410	120
921	1411	119
922	1413	117
923	1414	116
924	1415	114
925	1417	113
926	1418	111
927	1420	110
928	1421	108
929	1422	107
930	1424	105
931	1426	104
932	1428	102
933	1429	101
934	1431	99
935	1432	97
936	1434	96
937	1436	94
938	1438	93
939	1441	91
940	1442	90
941	1444	88
942	1445	87
943	1446	85
944	1448	84
945	1449	82
946	1451	81
947	1453	79
948	1454	78
949	1456	76
950	1457	75
951	1458	73
952	1460	72
953	1461	70
954	1463	68
955	1464	67
956	1465	65
957	1467	64
958	1468	62
959	1469	61
960	1470	59
961	1471	58
962	1472	56
963	1473	55
964	1475	53
965	1476	51
966	1477	50
967	1479	48
968	1480	47
969	1481	45
970	1482	44
971	1483	42
972	1484	41
973	1486	39
974	1487	38
975	1489	36
976	1490	35
977	1491	33
978	1492	32
979	1493	30
980	1494	28
981	1496	27
982	1497	25
983	1498	24
984	1499	22
985	1500	21
986	1502	19
987	1504	18
988	1505	16
989	1506	15
990	1507	13
991	1509	12
992	1510	10
993	1511	9
994	1512	7
995	1514	6
996	1516	4
997	1517	3
998	1518	1
999	1519	0
